"","city","freq.x","freq.y","state.x","freq_ad","longi","latti"
"1","HOUSTON",0.396148555708391,0.232394366197183,"TX",0.163754189511208,-95.3698028,29.7604267
"2","AUSTIN",0.149931224209078,0.0704225352112676,"TX",0.0795086889978108,-97.7430608,30.267153
"3","KATY",0.0247592847317744,0,"TX",0.0247592847317744,-95.8243956,29.7857853
"4","WORCESTER",0.0165061898211829,0,"MA",0.0165061898211829,-71.8022934,42.2625932
"5","CYPRESS",0.00962861072902338,0,"TX",0.00962861072902338,-118.0368507,33.8169366
"6","CORPUSCHRISTI",0.00825309491059147,0,"TX",0.00825309491059147,-97.396381,27.8005828
"7","IRVING",0.00825309491059147,0,"TX",0.00825309491059147,-96.9488945,32.8140177
"8","SUGARLAND",0.00825309491059147,0,"TX",0.00825309491059147,-95.6218571,29.5953907
"9","VICTORIA",0.00825309491059147,0,"TX",0.00825309491059147,-97.0035982,28.8052674
"10","WACO",0.00825309491059147,0,"TX",0.00825309491059147,-97.1466695,31.549333
"11","PEARLAND",0.00687757909215956,0,"TX",0.00687757909215956,-95.2860474,29.5635666
"12","ALVIN",0.00550206327372765,0,"TX",0.00550206327372765,-95.2441009,29.4238472
"13","CONROE",0.00550206327372765,0,"TX",0.00550206327372765,-95.4560512,30.3118769
"14","DUXBURY",0.00550206327372765,0,"MA",0.00550206327372765,-70.6722767,42.0417525
"15","HOUSTONAREA",0.00550206327372765,0,"TX",0.00550206327372765,-95.3984696,29.7570353
"16","RICHMOND",0.00550206327372765,0,"TX",0.00550206327372765,-77.4360481,37.5407246
"17","SPRING",0.00550206327372765,0,"TX",0.00550206327372765,-118.143068,34.004489
"18","THEWOODLANDS",0.00550206327372765,0,"TX",0.00550206327372765,-95.4612625,30.1658207
"19","CARROLLTON",0.00412654745529574,0,"TX",0.00412654745529574,-96.8899636,32.9756415
"20","DALLAS/FORTWORTH",0.00412654745529574,0,"TX",0.00412654745529574,-97.0403352,32.8998091
"21","FRISCO",0.00412654745529574,0,"TX",0.00412654745529574,-96.8236116,33.1506744
"22","MISSION",0.00412654745529574,0,"TX",0.00412654745529574,-98.3252932,26.2159066
"23","MISSOURICITY",0.00412654745529574,0,"TX",0.00412654745529574,-95.5377215,29.6185669
"24","PASADENA",0.00412654745529574,0,"TX",0.00412654745529574,-118.1445155,34.1477849
"25","ROSENBERG",0.00412654745529574,0,"TX",0.00412654745529574,-95.8085623,29.5571825
"26","BRENHAM",0.00275103163686382,0,"TX",0.00275103163686382,-96.3977442,30.1668828
"27","CINCORANCH",0.00275103163686382,0,"TX",0.00275103163686382,-95.7580048,29.7388418
"28","COPPELL",0.00275103163686382,0,"TX",0.00275103163686382,-97.0150078,32.9545687
