"","number","city","state","freq","date","longi","latti"
"65",2,"MESQUITE","NV",0.00291970802919708,"9-6",-96.5991593,32.7667955
"66",1,"ADKINS","TX",0.00145985401459854,"9-6",-98.2372329,29.3930129
"67",1,"ALIEF","TX",0.00145985401459854,"9-6",-95.593239,29.6827204
"68",1,"AUSITN","TX",0.00145985401459854,"9-6",-97.7430608,30.267153
"69",1,"AUTISM","TX",0.00145985401459854,"9-6",-103.2264887,44.0784639
"70",1,"BASEBALLPLEX","TX",0.00145985401459854,"9-6",-85.218065,41.04727
"71",1,"BAYSIDE","TX",0.00145985401459854,"9-6",-73.7654367,40.7585569
"72",1,"BOERNE","TX",0.00145985401459854,"9-6",-98.7319703,29.7946641
"73",1,"BRENHAM","TX",0.00145985401459854,"9-6",-96.3977442,30.1668828
"74",1,"BROWNSVILLE","TX",0.00145985401459854,"9-6",-97.4974838,25.9017472
"75",1,"BRYAN","TX",0.00145985401459854,"9-6",-96.3699632,30.6743643
"76",1,"BURLESON","TX",0.00145985401459854,"9-6",-97.3208492,32.5420821
"77",1,"CEDARHILL","TX",0.00145985401459854,"9-6",-96.9561152,32.5884689
"78",1,"CHAPELHILL","TX",0.00145985401459854,"9-6",-79.0558445,35.9131996
"79",1,"COPPELL","TX",0.00145985401459854,"9-6",-97.0150078,32.9545687
"80",1,"D/FW","TX",0.00145985401459854,"9-6",-97.0403352,32.8998091
"81",1,"DALLAS-FT.WORTH","TX",0.00145985401459854,"9-6",-96.7969879,32.7766642
"82",1,"DALLAS/FORTWORTH","TX",0.00145985401459854,"9-6",-97.0403352,32.8998091
"83",1,"DDD","TX",0.00145985401459854,"9-6",-104.749168,39.763259
"84",1,"DELEON","TX",0.00145985401459854,"9-6",-122.1200017,37.4501693
"85",1,"DENISON","TX",0.00145985401459854,"9-6",-82.522643,40.074025
"86",1,"DFW","TX",0.00145985401459854,"9-6",-97.0403352,32.8998091
"87",1,"DRIPPINGSPRINGS","TX",0.00145985401459854,"9-6",-98.0866781,30.1902067
"88",1,"DUMAS","TX",0.00145985401459854,"9-6",-101.9732236,35.8653789
"89",1,"DUNCANVILLE","TX",0.00145985401459854,"9-6",-96.9083366,32.6518004
"90",1,"EDINBURG/SANANTONIO","TX",0.00145985401459854,"9-6",-98.4785897,29.4013393
"91",1,"EULESS","TX",0.00145985401459854,"9-6",-97.0819541,32.8370727
"92",1,"FLOWERMOUND","TX",0.00145985401459854,"9-6",-97.0969552,33.0145673
"93",1,"FORTSAMHOUSTON","TX",0.00145985401459854,"9-6",-98.4458421,29.4569597
"94",1,"FRIENDSWOOD","TX",0.00145985401459854,"9-6",-95.2010447,29.5293998
"95",1,"GRANBURY","TX",0.00145985401459854,"9-6",-97.7941967,32.4420826
"96",1,"GRANDPRAIRIE","TX",0.00145985401459854,"9-6",-96.9977846,32.7459645
"97",1,"HELOTES","TX",0.00145985401459854,"9-6",-98.6897451,29.5780056
"98",1,"HOUSTON&THEWOODLANDS","TX",0.00145985401459854,"9-6",-95.3698028,29.7604267
"99",1,"HUMBLE&BEAUMONT","TX",0.00145985401459854,"9-6",-95.2621553,29.9988312
"100",1,"JERSEYVILLAGE","TX",0.00145985401459854,"9-6",-95.5629984,29.887725
"101",1,"KELLER","TX",0.00145985401459854,"9-6",-97.229298,32.9341893
"102",1,"LAMESA","TX",0.00145985401459854,"9-6",-117.0230839,32.7678287
"103",1,"LAREDO","TX",0.00145985401459854,"9-6",-99.4803241,27.5305671
"104",1,"LASCOLINAS/IRVING","TX",0.00145985401459854,"9-6",-96.9531225,32.8969875
"105",1,"LEVELLAND","TX",0.00145985401459854,"9-6",-102.37796,33.5873164
"106",1,"LEWISVILLE","TX",0.00145985401459854,"9-6",-96.994174,33.046233
"107",1,"MANSFIELD","TX",0.00145985401459854,"9-6",-97.1416768,32.5631924
"108",1,"MANVEL","TX",0.00145985401459854,"9-6",-95.357994,29.4627365
"109",1,"MARLIN","TX",0.00145985401459854,"9-6",-96.8980439,31.3062874
"110",1,"MCALLEN","TX",0.00145985401459854,"9-6",-98.2300124,26.2034071
"111",1,"MCKINNEY","TX",0.00145985401459854,"9-6",-96.6397822,33.1972465
"112",1,"PORTNECHES","TX",0.00145985401459854,"9-6",-93.9585067,29.9913244
"113",1,"PRINCETON","TX",0.00145985401459854,"9-6",-74.6514481,40.3439888
"114",1,"ROCKPORT","TX",0.00145985401459854,"9-6",-97.0544341,28.0205733
"115",1,"SANLEON","TX",0.00145985401459854,"9-6",-94.9221465,29.4832863
"116",1,"SEGUIN","TX",0.00145985401459854,"9-6",-97.9647269,29.5688411
"117",1,"SHERMAN","TX",0.00145985401459854,"9-6",-96.6088805,33.6356618
"118",1,"STAFFORD","TX",0.00145985401459854,"9-6",-77.4083086,38.4220687
"119",1,"SULPHURSPRINGS","TX",0.00145985401459854,"9-6",-95.6010668,33.1384479
"120",1,"TEMPLE","TX",0.00145985401459854,"9-6",-75.1553512,39.9811935
"121",1,"THIRDWARD","TX",0.00145985401459854,"9-6",-87.9061192,43.033191
"122",1,"UPTOWNHOUSTON","TX",0.00145985401459854,"9-6",-95.4610278,29.7410048
"123",1,"VEGA","TX",0.00145985401459854,"9-6",-122.9946791,49.2568175
"124",1,"WAKEVILLAGE","TX",0.00145985401459854,"9-6",-94.1063014,33.4267911
"125",1,"AVONDALE","LA",0.00145985401459854,"9-6",-112.3496021,33.4355977
"126",1,"COVINGTON","LA",0.00145985401459854,"9-6",-84.5085536,39.0836712
"127",1,"INDEPENDENCE","LA",0.00145985401459854,"9-6",-94.4155068,39.0911161
"128",1,"LULING","LA",0.00145985401459854,"9-6",-97.647498,29.6805066
"129",1,"MARYLAND","LA",0.00145985401459854,"9-6",-76.6412712,39.0457549
"130",1,"NEWIBERIA","LA",0.00145985401459854,"9-6",-91.8187285,30.0035365
"131",1,"SHREVEPORT","LA",0.00145985401459854,"9-6",-93.7501789,32.5251516
"132",1,"ATHOL","MA",0.00145985401459854,"9-6",-72.2267383,42.5959329
"133",1,"BRIGHTON","MA",0.00145985401459854,"9-6",-77.5734048,43.1222716
"134",1,"CHELSEA","MA",0.00145985401459854,"9-6",-71.0328284,42.3917638
"135",1,"CHICOPEE","MA",0.00145985401459854,"9-6",-72.6078672,42.1487043
"136",1,"EASTFALMOUTH","MA",0.00145985401459854,"9-6",-70.5586401,41.5784425
"137",1,"FOXBOROUGH","MA",0.00145985401459854,"9-6",-71.2478251,42.0653812
"138",1,"FRANKLIN","MA",0.00145985401459854,"9-6",-86.8688899,35.9250637
"139",1,"JAMAICAPLAIN","MA",0.00145985401459854,"9-6",-71.1151431,42.3097365
"140",1,"MALDEN","MA",0.00145985401459854,"9-6",-71.066163,42.4250964
"141",1,"MARTHA'SVINEYARD","MA",0.00145985401459854,"9-6",-70.645473,41.3804981
"142",1,"MILFORD","MA",0.00145985401459854,"9-6",-73.064036,41.2306979
"143",1,"NATICK","MA",0.00145985401459854,"9-6",-71.3468091,42.2775281
"144",1,"NORTHADAMS","MA",0.00145985401459854,"9-6",-73.1087148,42.700915
"145",1,"NORWOOD","MA",0.00145985401459854,"9-6",-71.1989695,42.1943909
"146",1,"PROVINCETOWN","MA",0.00145985401459854,"9-6",-70.1786425,42.0584412
"147",1,"REVERE","MA",0.00145985401459854,"9-6",-71.0119948,42.4084302
"148",1,"SALEM","MA",0.00145985401459854,"9-6",-70.8967155,42.51954
"149",1,"SOMERVILLE","MA",0.00145985401459854,"9-6",-71.0994968,42.3875968
"150",1,"TEWKSBURY","MA",0.00145985401459854,"9-6",-71.2342248,42.6106478
"151",1,"UNITEDKINGDOMVIABOSTON","MA",0.00145985401459854,"9-6",-71.0833898,42.3627038
"152",1,"WALTHAM","MA",0.00145985401459854,"9-6",-71.2356113,42.3764852
"153",1,"WORCESTER","MA",0.00145985401459854,"9-6",-71.8022934,42.2625932
"154",1,"CARSONCITY","NV",0.00145985401459854,"9-6",-119.7674034,39.1637984
"155",1,"NORTHLASVEGAS","NV",0.00145985401459854,"9-6",-115.1175013,36.1988592
"156",1,"WINNEMUCCA","NV",0.00145985401459854,"9-6",-117.7356849,40.9729584
