"","number","city","state","freq","date","longi","latti"
"1",225,"HOUSTON","TX",0.257142857142857,"9-5",-95.3698028,29.7604267
"2",136,"AUSTIN","TX",0.155428571428571,"9-5",-97.7430608,30.267153
"3",70,"DALLAS","TX",0.08,"9-5",-96.7969879,32.7766642
"4",33,"SANANTONIO","TX",0.0377142857142857,"9-5",-98.4936282,29.4241219
"5",26,"BOSTON","MA",0.0297142857142857,"9-5",-71.0588801,42.3600825
"6",22,"LASVEGAS","NV",0.0251428571428571,"9-5",-115.1398296,36.1699412
"7",12,"KATY","TX",0.0137142857142857,"9-5",-95.8243956,29.7857853
"8",11,"COLLEGESTATION","TX",0.0125714285714286,"9-5",-96.3344068,30.627977
"9",10,"BEAUMONT","TX",0.0114285714285714,"9-5",-94.1265562,30.080174
"10",10,"FORTWORTH","TX",0.0114285714285714,"9-5",-97.3307658,32.7554883
"11",10,"PLANO","TX",0.0114285714285714,"9-5",-96.6988856,33.0198431
"12",10,"SPRING","TX",0.0114285714285714,"9-5",-118.143068,34.004489
"13",10,"SUGARLAND","TX",0.0114285714285714,"9-5",-95.6218571,29.5953907
"14",9,"ARLINGTON","TX",0.0102857142857143,"9-5",-97.1080656,32.735687
"15",8,"NEWORLEANS","LA",0.00914285714285714,"9-5",-90.0715323,29.9510658
"16",7,"CORPUSCHRISTI","TX",0.008,"9-5",-97.396381,27.8005828
"17",7,"FRAMINGHAM","MA",0.008,"9-5",-71.4161565,42.279286
"18",6,"PEARLAND","TX",0.00685714285714286,"9-5",-95.2860474,29.5635666
"19",6,"TOMBALL","TX",0.00685714285714286,"9-5",-95.6160549,30.0971621
"20",6,"BATONROUGE","LA",0.00685714285714286,"9-5",-91.1403196,30.4582829
"21",5,"DENTON","TX",0.00571428571428571,"9-5",-97.1330683,33.2148412
"22",5,"LUBBOCK","TX",0.00571428571428571,"9-5",-101.8551665,33.5778631
"23",5,"THEWOODLANDS","TX",0.00571428571428571,"9-5",-95.4612625,30.1658207
"24",4,"IRVING","TX",0.00457142857142857,"9-5",-96.9488945,32.8140177
"25",4,"KILLEEN","TX",0.00457142857142857,"9-5",-97.7277959,31.1171194
"26",4,"MCKINNEY","TX",0.00457142857142857,"9-5",-96.6397822,33.1972465
"27",3,"AMARILLO","TX",0.00342857142857143,"9-5",-101.8312969,35.2219971
"28",3,"BAYTOWN","TX",0.00342857142857143,"9-5",-94.9774274,29.7355047
"29",3,"CYPRESS","TX",0.00342857142857143,"9-5",-118.0368507,33.8169366
"30",3,"ELPASO","TX",0.00342857142857143,"9-5",-106.4850217,31.7618778
"31",3,"FRISCO","TX",0.00342857142857143,"9-5",-96.8236116,33.1506744
"32",3,"MIDLAND","TX",0.00342857142857143,"9-5",-102.0779146,31.9973456
"33",3,"PASADENA","TX",0.00342857142857143,"9-5",-118.1445155,34.1477849
"34",3,"PORTARTHUR","TX",0.00342857142857143,"9-5",-93.939947,29.8849504
"35",3,"ROUNDROCK","TX",0.00342857142857143,"9-5",-97.678896,30.5082551
"36",3,"STAFFORD","TX",0.00342857142857143,"9-5",-95.5577221,29.6160671
"37",3,"TYLER","TX",0.00342857142857143,"9-5",-95.3010624,32.3512601
