"","number","city","state","freq","date","longi","latti"
"1",33,"HOUSTON","TX",0.183333333333333,"9-29",-95.3698028,29.7604267
"2",17,"DALLAS","TX",0.0944444444444444,"9-29",-96.7969879,32.7766642
"3",13,"BOSTON","MA",0.0722222222222222,"9-29",-71.0588801,42.3600825
"4",10,"AUSTIN","TX",0.0555555555555556,"9-29",-97.7430608,30.267153
"5",10,"SANANTONIO","TX",0.0555555555555556,"9-29",-98.4936282,29.4241219
"6",8,"LASVEGAS","NV",0.0444444444444444,"9-29",-115.1398296,36.1699412
"7",4,"DENTON","TX",0.0222222222222222,"9-29",-97.1330683,33.2148412
"8",4,"FORTWORTH","TX",0.0222222222222222,"9-29",-97.3307658,32.7554883
"9",4,"NEWORLEANS","LA",0.0222222222222222,"9-29",-90.0715323,29.9510658
"10",3,"MARLBOROUGH","MA",0.0166666666666667,"9-29",-71.5522874,42.3459271
"11",2,"BRYAN","TX",0.0111111111111111,"9-29",-96.3699632,30.6743643
"12",2,"LAREDO","TX",0.0111111111111111,"9-29",-99.4803241,27.5305671
"13",2,"WATAUGA","TX",0.0111111111111111,"9-29",-97.2547371,32.8579056
"14",2,"BATONROUGE","LA",0.0111111111111111,"9-29",-91.1403196,30.4582829
"15",2,"SLIDELL","LA",0.0111111111111111,"9-29",-89.7811745,30.2751945
"16",2,"RENO","NV",0.0111111111111111,"9-29",-119.8138027,39.5296329
"17",1,"ABILENE","TX",0.00555555555555556,"9-29",-99.7331439,32.4487364
"18",1,"BEAUMONT","TX",0.00555555555555556,"9-29",-94.1265562,30.080174
"19",1,"BRIDGECITY","TX",0.00555555555555556,"9-29",-93.8457255,30.0207678
"20",1,"BURLESON","TX",0.00555555555555556,"9-29",-97.3208492,32.5420821
"21",1,"CANYON","TX",0.00555555555555556,"9-29",-116.6865435,43.6779581
"22",1,"CLEBURNE","TX",0.00555555555555556,"9-29",-97.3866837,32.3476438
