"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1912",2619,"RT @billboardhiphop: Chris Brown pledges $100,000 to #HurricaneHarvey relief efforts https://t.co/TNM0CaDURj https://t.co/HgayKjHBYp",FALSE,0,NA,"2017-09-04 22:39:31",FALSE,NA,904836348858826752,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","selenaslovable",163,TRUE,FALSE,NA,NA,"Serbia","en","http://pbs.twimg.com/profile_images/908097848717320195/pooDve9J_normal.jpg"
"1913",2620,"RT @musicnewsfact: .@IGGYAZALEA has made a donation of $750,000 to the Houston Food Bank to help those effected by #HurricaneHarvey! https:…",FALSE,0,NA,"2017-09-04 22:39:29",FALSE,NA,904836342865170432,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_ultraviolnce",550,TRUE,FALSE,NA,NA,"Barcelona // @EllieG_Spain","es","http://pbs.twimg.com/profile_images/904674409738272768/d1MiBmeT_normal.jpg"
"1914",2624,"RT @SalvationArmyNW: @Safeway and @Albertsons are accepting donations at checkout for #salvationarmy #hurricaneharvey #disasterrelief until…",FALSE,0,NA,"2017-09-04 22:39:24",FALSE,NA,904836321637654528,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","julieroot4",4,TRUE,FALSE,NA,NA,"California, USA","en","http://pbs.twimg.com/profile_images/908198191513837568/RnlJf4Ri_normal.jpg"
"1915",2626,"@GavinCecchini2 @Mets You are a genuine role model; thanks for all you're doing for the victims of #HurricaneHarvey… https://t.co/I2ggtGqBV4",FALSE,2,"GavinCecchini2","2017-09-04 22:39:21",TRUE,904349111964577792,904836309608476672,318636852,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","UPTOWNGIRL2008",1,FALSE,FALSE,NA,NA,"LONG ISLAND RED, NEW YORK","en","http://pbs.twimg.com/profile_images/59558358/DSC07466_normal.JPG"
"1916",2627,"Daily BS: Paramedic Who Rescued Harvey Victims May Be Deported If Trump Ends DACA #HurricaneHarvey #saveDACA https://t.co/481ibwWJm4",FALSE,0,NA,"2017-09-04 22:39:21",FALSE,NA,904836307431673856,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","emilybrooks89",1,FALSE,FALSE,NA,NA,"New York City","en","http://pbs.twimg.com/profile_images/418829371965599744/QN33Y7Qy_normal.jpeg"
"1917",2628,"#HurricaneHarvey #Flood victim needs to revive his family &amp; belongings. Help Brad. https://t.co/rp2pOLEhFm
#FloodVictim #gofundme $Donate",FALSE,0,NA,"2017-09-04 22:39:20",FALSE,NA,904836302318829568,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","theclassifiedz",0,FALSE,FALSE,NA,NA,"Madrid","en","http://pbs.twimg.com/profile_images/803654920041697280/cf9epabT_normal.jpg"
"1918",2629,"RT @billboard: Kardashian family donating $500,000 to #HurricaneHarvey relief efforts https://t.co/0Awqax2Jxg https://t.co/iAU8LfRylK",FALSE,0,NA,"2017-09-04 22:39:18",FALSE,NA,904836296039948288,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","selenaslovable",105,TRUE,FALSE,NA,NA,"Serbia","en","http://pbs.twimg.com/profile_images/908097848717320195/pooDve9J_normal.jpg"
"1919",2630,"RT @TAMU: Aggie @VonMiller to give $100,000 to support #HurricaneHarvey relief efforts through @bthoharvey! https://t.co/qUidK4Y660 #BTHOha…",FALSE,0,NA,"2017-09-04 22:39:16",FALSE,NA,904836286967672832,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","12ickyy",336,TRUE,FALSE,NA,NA,"STX <ed><U+00A0><U+00BC><ed><U+00BF><U+008E> CSTAT","en","http://pbs.twimg.com/profile_images/896091888142495744/GmvuWHkn_normal.jpg"
"1920",2631,"RT @musicnewsfact: .@IGGYAZALEA has made a donation of $750,000 to the Houston Food Bank to help those effected by #HurricaneHarvey! https:…",FALSE,0,NA,"2017-09-04 22:39:16",FALSE,NA,904836286292398080,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","thenewatiles",550,TRUE,FALSE,NA,NA,"na mansão da iggy azalea","pt","http://pbs.twimg.com/profile_images/907346375062573056/IqYYyHAh_normal.jpg"
"1921",2632,"#HurricaneHarvey #Flood victim needs to revive his family &amp; belongings. Help Brad. https://t.co/XTTgfhSgH6
#FloodVictim #gofundme $Donate",FALSE,0,NA,"2017-09-04 22:39:14",FALSE,NA,904836277115248640,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FreeDomainPage",0,FALSE,FALSE,NA,NA,"Twitter","en","http://pbs.twimg.com/profile_images/805495413130174464/2iEqtwQu_normal.jpg"
"1922",2633,"RT @ItssTeeJay: I shouldn't be laughing but I am <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #HurricaneHarvey https://t.co/rWbUvpVFXi",FALSE,0,NA,"2017-09-04 22:39:12",FALSE,NA,904836271897489408,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","red3rich",19322,TRUE,FALSE,NA,NA,"Albany, GA ","en","http://pbs.twimg.com/profile_images/908109755574571008/qByUheI9_normal.jpg"
"1923",2634,"Looks like #HurricaneHarvey has twin sister #HurricaneIrma Please beware #HurricaneIrmaTracking @FLAGALine frm… https://t.co/gLmlSKPVxe",FALSE,0,NA,"2017-09-04 22:39:11",TRUE,NA,904836265853538304,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","watersgisele",0,FALSE,FALSE,NA,NA,"Transdisciplinary eng,span,fr","en","http://pbs.twimg.com/profile_images/900676077328056320/3kZz4KNr_normal.jpg"
"1924",2635,"RT @musicnewsfact: Ariana Grande has made a donation of $500,000 to the Houston Food Bank to help those effected by #HurricaneHarvey! https…",FALSE,0,NA,"2017-09-04 22:39:10",FALSE,NA,904836263693266944,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ohsnapitzmot",1136,TRUE,FALSE,NA,NA,"Ariana 1x/Keke Palmer 1x + RT","en","http://pbs.twimg.com/profile_images/870649723631280128/jma4uz5M_normal.jpg"
"1925",2638,"#HurricaneHarvey #Flood victim needs to revive his family &amp; belongings. Help Brad. https://t.co/gcRFFsj13a
#FloodVictim #gofundme $Donate",FALSE,0,NA,"2017-09-04 22:39:08",FALSE,NA,904836252792434688,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sanasarwat80",0,FALSE,FALSE,NA,NA,"Worldwide","en","http://pbs.twimg.com/profile_images/479346109928587264/aEKzuGWt_normal.jpeg"
"1926",2639,"RT @GregAbbott_TX: Price gouging of those affected by #HurricaneHarvey is un-Texan &amp; will be vigorously prosecuted. #txlege https://t.co/jR…",FALSE,0,NA,"2017-09-04 22:39:07",FALSE,NA,904836247952252928,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rhet420",424,TRUE,FALSE,NA,NA,"Richmond, TX","en","http://pbs.twimg.com/profile_images/864851678671110144/1SQOTp_M_normal.jpg"
"1927",2640,"RT @HumaneSociety: Thank you for all that you're doing for animals, @NationalGuard! <ed><U+00A0><U+00BD><ed><U+00B0><U+00BE> #HurricaneHarvey https://t.co/yTMg9CqPVd",FALSE,0,NA,"2017-09-04 22:39:05",FALSE,NA,904836239823695872,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kingpinkendall",196,TRUE,FALSE,NA,NA,"Pennsylvania, USA","en","http://pbs.twimg.com/profile_images/756178446582157312/_EFJyLzc_normal.jpg"
"1928",2641,"RT @ThePopHub: Ariana Grande has donated $500,000 to the Houston Food Bank to help those affected by #HurricaneHarvey https://t.co/drBBDAkF…",FALSE,0,NA,"2017-09-04 22:39:04",FALSE,NA,904836235956506624,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","banterlass",666,TRUE,FALSE,NA,NA,"internet","en","http://pbs.twimg.com/profile_images/906734962233266177/zY1U5bVs_normal.jpg"
"1929",2642,"Social media is a great tool to help in an emergency but it shouldn't be anyone's disaster plan #HurricaneHarvey… https://t.co/f2f4jGxn9A",FALSE,0,NA,"2017-09-04 22:39:02",TRUE,NA,904836229727911936,NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","ePACTnetwork",3,FALSE,FALSE,NA,NA,"North Vancouver, BC","en","http://pbs.twimg.com/profile_images/444591716629090304/G3mu8OkK_normal.png"
"1930",2643,"RT @abc13houston: JUST IN: Death toll from #HurricaneHarvey rises in #Houston area
Harris Co – 30
Montgomery Co – 5
Fort Bend Co – 2
Galves…",FALSE,0,NA,"2017-09-04 22:39:02",FALSE,NA,904836228834615296,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DJprblmatic",186,TRUE,FALSE,NA,NA,"HTX","en","http://pbs.twimg.com/profile_images/871538995414441984/CiGqOGum_normal.jpg"
"1931",2645,"#HurricaneHarvey #Flood victim needs to revive his family &amp; belongings. Help Brad. https://t.co/NuFs8SEfVh
#FloodVictim #gofundme $Donate",FALSE,0,NA,"2017-09-04 22:39:00",FALSE,NA,904836218827022336,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","imoradabad",0,FALSE,FALSE,NA,NA,"Moradabad, India","en","http://pbs.twimg.com/profile_images/624638458565275648/AZlMXST5_normal.jpg"
