"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"2790","Like why can't I watch a beautiful and meaningful anime with Perfect Wifes:(",FALSE,0,"ShaySleepyKill","2017-09-29 23:59:49",FALSE,913915849488158720,913916253684813824,886086234522750976,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShaySleepyKill",0,FALSE,FALSE,NA,NA,"Hell","en","http://pbs.twimg.com/profile_images/908751618820202497/OZvIHfsT_normal.jpg"
"2791","Les gens pensent que je suis super froide et coupé aux discussions. Mais je peux etre tellemt compréhensive et a l’écoute vous imaginez pas",FALSE,1,NA,"2017-09-29 23:59:49",FALSE,NA,913916253680660480,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ptite_Popo",0,FALSE,FALSE,NA,NA,"Alès, France","fr","http://pbs.twimg.com/profile_images/907901244559302656/ibqw61Hy_normal.jpg"
"2792","RT @softvixxs: with my 280 characters i will say that puerto rico, mexico, and many islands are suffering RIGHT NOW and no one seems to be…",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253626093568,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","maggiestic",41843,TRUE,FALSE,NA,NA,"<U+02F9>she/her<U+02FC>","es","http://pbs.twimg.com/profile_images/911307955932422147/loL03tt0_normal.jpg"
"2793","RT @irina_irazoque: Centro de acopio de @PAOTmx Me consta que las cosas si llegan a su destino. Una de las encargadas es @ninel_irazoque #f…",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253617737728,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pezkissa",2,TRUE,FALSE,NA,NA,"CDMX","es","http://pbs.twimg.com/profile_images/903468569127567360/1Ir_ubbC_normal.jpg"
"2794","RT @nana99mariana22: @fernanda_1521 Saludó a lasue suya?",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253609369600,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Marco44865976",1,TRUE,FALSE,NA,NA,"Costa Rica","es","http://pbs.twimg.com/profile_images/891832509763395585/bKtdMRLO_normal.jpg"
"2795","RT @jsoares06: Há anos que o meu avô não vai ao Restelo ver o Belenenses, clube do coração. A minha prenda de Natal vai ser levá-lo, vai fi…",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253596766208,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ruben_1904",1,TRUE,FALSE,NA,NA,"Lisbon, Portugal","pt","http://pbs.twimg.com/profile_images/911733303035809792/uPelZpTj_normal.jpg"
"2796","RT @JohnMoralesNBC6: Starting 4 days prior to landfall NHC wrote 17 full Hurricane María advisories. Every single one called for landfall i…",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253571514368,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hurricaneville",3550,TRUE,FALSE,NA,NA,"New Jersey","en","http://pbs.twimg.com/profile_images/1115501875/hursymbol_normal.png"
"2797","@MelanieGriffith My friend was helped  with the same problem as you with 3rd stage squamous cell. Tweet me back i have a friend. he can help",FALSE,0,"MelanieGriffith","2017-09-29 23:59:49",FALSE,NA,913916253529608192,438128416,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jasmineprattee",0,FALSE,FALSE,NA,NA,"LA&NY&FL","en","http://pbs.twimg.com/profile_images/378800000014335901/8329afaf15f239d9f98cfa57ca0affe6_normal.jpeg"
"2798","RT @henriolliveira: A defesa de Lula decidiu mesmo jogar tudo na conta de Marisa.

A cara de pau não tem limites. https://t.co/jqUT2bzTQU",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253479342080,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","arlineideramos",35,TRUE,FALSE,NA,NA,"Brasil","pt","http://pbs.twimg.com/profile_images/891819513230045184/HbywaobN_normal.jpg"
"2799","RT @erikacostell: whaaaaat a day",FALSE,0,NA,"2017-09-29 23:59:49",FALSE,NA,913916253470953472,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","michelle_sosa14",201,TRUE,FALSE,NA,NA,"Dallas, TX","en","http://pbs.twimg.com/profile_images/906450311535108096/IBvlst8Y_normal.jpg"
