"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","RT @TNTContest: Support the #HurricaneHarvey relief with @TNTContest and @TheBeerGuy_ 

$50 gets you a 5-5-5 package listed below 

https:/…",FALSE,0,NA,"2017-09-06 23:59:59",FALSE,NA,905581376321314816,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JKickinit30",12,TRUE,FALSE,NA,NA,"your pants","en","http://pbs.twimg.com/profile_images/903402184607453184/X8vmGq9J_normal.jpg"
"2","RT @GenRobertNeller: To all of the Marines who responded to help those in need after #HurricaneHarvey, you make us proud. Thank you!",FALSE,0,NA,"2017-09-06 23:59:59",FALSE,NA,905581374136078336,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ReneeFAZIO1",132,TRUE,FALSE,NA,NA,"USA","en","http://pbs.twimg.com/profile_images/2510751344/tasm0wvxrj4usiy5dap3_normal.jpeg"
"3","RT @TNTContest: Support the #HurricaneHarvey relief with @TNTContest and @JJSummertime 

$30 gets you a favstar pro membership 

https://t.…",FALSE,0,NA,"2017-09-06 23:59:55",FALSE,NA,905581357648281600,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JKickinit30",10,TRUE,FALSE,NA,NA,"your pants","en","http://pbs.twimg.com/profile_images/903402184607453184/X8vmGq9J_normal.jpg"
"4","RT @IvankaTrump: As we pray for those affected by #HurricaneHarvey, let us also honor all of the brave heroes and first responders. #Housto…",FALSE,0,NA,"2017-09-06 23:59:53",FALSE,NA,905581348953382912,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DylanMoorefit",7353,TRUE,FALSE,NA,NA,"South Whittier, CA","en","http://pbs.twimg.com/profile_images/742144087311028224/cceriZMc_normal.jpg"
"5","RT @ImMufasa_: Pray for Texas. Pray for Florida. Please. We need it. #HurricaneHarvey
#HurricaneIrma",FALSE,0,NA,"2017-09-06 23:59:50",FALSE,NA,905581339038056448,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KaylaMonique_",221,TRUE,FALSE,NA,NA,"860 <U+2708><U+FE0F> 919.","en","http://pbs.twimg.com/profile_images/865910374822010881/IDYXBW2K_normal.jpg"
"6","RT @TNTContest: Support the #HurricaneHarvey relief with @TNTContest and @ComedicBust 

$30 gets you a favstar pro membership 

https://t.c…",FALSE,0,NA,"2017-09-06 23:59:49",FALSE,NA,905581335112187904,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JKickinit30",14,TRUE,FALSE,NA,NA,"your pants","en","http://pbs.twimg.com/profile_images/903402184607453184/X8vmGq9J_normal.jpg"
"7","RT @JensenAckles: Still going strong.  So impressed.  So thankful for this network and family.  #SPNFamily #HurricaneHarvey https://t.co/gG…",FALSE,0,NA,"2017-09-06 23:59:46",FALSE,NA,905581321984118784,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","poeticpadalecki",4055,TRUE,FALSE,NA,NA,"en el impala con sam y dean","es","http://pbs.twimg.com/profile_images/899887655223218176/7jEeFQLZ_normal.jpg"
"8","RT @dog_rates: If you're looking to help four legged frens of any kind suffering from #HurricaneHarvey, here's a great place to start! http…",FALSE,0,NA,"2017-09-06 23:59:45",FALSE,NA,905581315004751872,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","punkasspizza",5170,TRUE,FALSE,NA,NA,"Orlando, FL","en","http://pbs.twimg.com/profile_images/805205774528090112/4hKCzo18_normal.jpg"
"9","RT @FoxNews: A big hug for a little boy as his father returns from participating in #HurricaneHarvey relief efforts. @usairforce https://t.…",FALSE,0,NA,"2017-09-06 23:59:37",FALSE,NA,905581282935021568,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Mrjake08",449,TRUE,FALSE,NA,NA,"Lodi, CA","en","http://pbs.twimg.com/profile_images/755986907775983616/fFI70lLj_normal.jpg"
"10","RT @JensenAckles: Still going strong.  So impressed.  So thankful for this network and family.  #SPNFamily #HurricaneHarvey https://t.co/gG…",FALSE,0,NA,"2017-09-06 23:59:36",FALSE,NA,905581280569434112,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","avabishopp",4055,TRUE,FALSE,NA,NA,"the death star, probably","en","http://pbs.twimg.com/profile_images/890778182093123584/vT4DXXrS_normal.jpg"
"11","RT @Kaidinn: How the Red Cross Raised Half a Billion Dollars for Haiti ­and Built Six Homes

https://t.co/Qbib0B72Mz #HurricaneHarvey #Harv…",FALSE,0,NA,"2017-09-06 23:59:30",FALSE,NA,905581252375400448,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cyclone_cowgirl",3,TRUE,FALSE,NA,NA,"DRY South Texas","en","http://pbs.twimg.com/profile_images/906932105447440390/N05_3L7R_normal.jpg"
"12","RT @GOP: RT to thank @POTUS and @FLOTUS for their personal donation to the #HurricaneHarvey relief efforts. https://t.co/A9ksK6SHW9",FALSE,0,NA,"2017-09-06 23:59:26",FALSE,NA,905581238127349760,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NYRKelsMads",6530,TRUE,FALSE,NA,NA,"Wherever my dog is","en","http://pbs.twimg.com/profile_images/875405818451177475/e_u0Qrxw_normal.jpg"
"13","RT @GOP: RT to thank @POTUS and @FLOTUS for their personal donation to the #HurricaneHarvey relief efforts. https://t.co/A9ksK6SHW9",FALSE,0,NA,"2017-09-06 23:59:24",FALSE,NA,905581230036578304,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","connie2589",6530,TRUE,FALSE,NA,NA,"Planet Earth, then Heaven","en","http://pbs.twimg.com/profile_images/683830586146828288/iFMLe7tA_normal.jpg"
"14","#hurricaneharvey
#hurricaneirma
#hurricanejose
 #hurricanekatia

Damn southern US can't catch a break.",FALSE,0,NA,"2017-09-06 23:59:22",FALSE,NA,905581221434011648,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NoellesMami",0,FALSE,FALSE,NA,NA,"Baltimore, MD","en","http://pbs.twimg.com/profile_images/908150277215326208/LdQ3wh3u_normal.jpg"
"15","RT @MyArdentStory: Wellstone Health Partners in Killeen, Texas donate items to Families in Crisis following devastation of #HurricaneHarvey…",FALSE,0,NA,"2017-09-06 23:59:22",FALSE,NA,905581219815018496,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","stephenwilder",1,TRUE,FALSE,NA,NA,"Nashville, TN","en","http://pbs.twimg.com/profile_images/1608016429/Stephen_Wilder_LinkedIn_2_normal.jpg"
"16","RT @justanavywife: More people need to hear about #NavySEAL @MarcusLuttrell's amazing project for WWII #Vet.
#HOOYAH!
#HurricaneHarvey 
htt…",FALSE,0,NA,"2017-09-06 23:59:20",FALSE,NA,905581212479127552,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KGHASKINS1",1143,TRUE,FALSE,NA,NA,"Delaware, USA","en","http://pbs.twimg.com/profile_images/830931086230298625/NZLbC6qG_normal.jpg"
"17","RT @boostmobile: We’re waiving fees for calls &amp; texts to areas impacted by #HurricaneHarvey in Texas &amp; Louisiana. Our <U+2764><U+FE0F> are w/ you. https:…",FALSE,0,NA,"2017-09-06 23:59:19",FALSE,NA,905581208435752960,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BoostbyCelltek",102,TRUE,FALSE,NA,NA,"El Paso, TX","en","http://pbs.twimg.com/profile_images/878041029567553536/9VvfpQy9_normal.jpg"
"18","RT @RandyStillinger: The faces of #HurricaneHarvey.  The @TexasGuard in action, saving fellow Texans, including their canine friends. https…",FALSE,0,NA,"2017-09-06 23:59:19",FALSE,NA,905581207156641792,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NLBAllen",20,TRUE,FALSE,NA,NA,"Texas","en","http://pbs.twimg.com/profile_images/725137421147365376/y7rMFi0d_normal.jpg"
"19","Say what you will about #DACA #Russia #HurricaneHarvey and our other debacles...at least Donald is the orangest president we've ever had!",FALSE,3,NA,"2017-09-06 23:59:19",FALSE,NA,905581206263263232,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FirstTrampTrump",2,FALSE,FALSE,NA,NA,"A place tackily plated in gold","en","http://pbs.twimg.com/profile_images/797164718746116096/rngCTpBK_normal.jpg"
"20","RT @TNTContest: TNT is back tomorrow with a brand new contest supporting our #HurricaneHarvey relief!

Check out our website <U+2199><U+FE0F>
https://t.c…",FALSE,0,NA,"2017-09-06 23:59:14",FALSE,NA,905581185237180416,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JKickinit30",23,TRUE,FALSE,NA,NA,"your pants","en","http://pbs.twimg.com/profile_images/903402184607453184/X8vmGq9J_normal.jpg"
"21","RT @myfriend_bella: Not only people, but also animals in TX are suffering right now because of #HurricaneHarvey!  

See our fundraiser @
ht…",FALSE,0,NA,"2017-09-06 23:59:12",FALSE,NA,905581176483610624,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vestkysta",45,TRUE,FALSE,NA,NA,"Norge","no","http://pbs.twimg.com/profile_images/766048835269455873/qFP-qq4j_normal.jpg"
"22","The latest The Miss Monroe Daily! https://t.co/oMEFpXVGG3 #hurricaneharvey",FALSE,0,NA,"2017-09-06 23:59:08",FALSE,NA,905581162604752896,NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","Lips4daze",0,FALSE,FALSE,NA,NA,"In a book","en","http://pbs.twimg.com/profile_images/887824318524162049/UahZlL9o_normal.jpg"
"23","RT @CitizensMandate: EXACTLY! Wish Texas Had Gotten That Money! #HurricaneHarvey #Harvey https://t.co/STEdA4LiDU",FALSE,0,NA,"2017-09-06 23:59:04",FALSE,NA,905581146779635712,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","elisgaga65",888,TRUE,FALSE,NA,NA,"Oklahoma, USA","en","http://pbs.twimg.com/profile_images/858785811218800641/ovIprdRK_normal.jpg"
"24","RT @GenRobertNeller: To all of the Marines who responded to help those in need after #HurricaneHarvey, you make us proud. Thank you!",FALSE,0,NA,"2017-09-06 23:59:01",FALSE,NA,905581131944353792,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haznialler08",132,TRUE,FALSE,NA,NA,"One Direction World","en","http://pbs.twimg.com/profile_images/749731222004363264/1FlWgD5A_normal.jpg"
"25","RT @NARAL: #HurricaneHarvey has made it even more difficult for women to access abortion in Texas. @WholeWomans is stepping up: https://t.c…",FALSE,0,NA,"2017-09-06 23:58:56",FALSE,NA,905581111895482368,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","karana_lynn",48,TRUE,FALSE,NA,NA,"Arizona, USA","en","http://pbs.twimg.com/profile_images/785965375808638976/NuUejQQl_normal.jpg"
"26","I just got a <ed><U+00A0><U+00BD><ed><U+00B3><U+009E> regarding all center jobs to assist with #HurricaneHarvey relief...... hit me up if u want the # and locations they're hiring",FALSE,0,NA,"2017-09-06 23:58:49",FALSE,NA,905581080815837184,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MilesAhead35",0,FALSE,FALSE,NA,NA,"32.671151,-97.106675","en","http://pbs.twimg.com/profile_images/889359934156099585/c53gTB0J_normal.jpg"
"27","#HurricaneIrma &amp; #HurricaneHarvey take a look at this ""  https://t.co/L8e5qFhaHS "" firefighters 4 firefighters",FALSE,0,NA,"2017-09-06 23:58:41",FALSE,NA,905581047760523264,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","scoobasteve7132",0,FALSE,FALSE,NA,NA,"U.S.A BABY","en","http://pbs.twimg.com/profile_images/903391903344979970/U3WWPE5Z_normal.jpg"
"28","RT @GOP: RT to thank @POTUS and @FLOTUS for their personal donation to the #HurricaneHarvey relief efforts. https://t.co/A9ksK6SHW9",FALSE,0,NA,"2017-09-06 23:58:39",FALSE,NA,905581041691348992,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rwhite5789",6530,TRUE,FALSE,NA,NA,"Columbus, IN","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"29","RT @MADE__USA: #ICE <ed><U+00A0><U+00BD><ed><U+00BA><U+00A8> ICE Deploys Over 200 Personnel to Assist with Hurricane Harvey Rescue https://t.co/39W6vv9OGl  #HurricaneHarvey #Texa…",FALSE,0,NA,"2017-09-06 23:58:36",FALSE,NA,905581029154406400,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","justanavywife",233,TRUE,FALSE,NA,NA,"We sail around","en","http://pbs.twimg.com/profile_images/813616324853329920/ruM-VAnD_normal.jpg"
"30","RT @readbtwnthelyme: Please consider donating to my friend and her family in Rockport, Texas. They lost everything to #HurricaneHarvey http…",FALSE,0,NA,"2017-09-06 23:58:36",FALSE,NA,905581028919697408,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MrsKrazyMonkey",1,TRUE,FALSE,NA,NA,"Mississippi","en","http://pbs.twimg.com/profile_images/903767459970277376/hJ5cknhn_normal.jpg"
