"","city","freq.x","freq.y","state.x","freq_ad","longi","latti"
"1","HOUSTON",0.302063789868668,0.232394366197183,"TX",0.0696694236714848,-95.3698028,29.7604267
"2","AUSTIN",0.133208255159475,0.0704225352112676,"TX",0.0627857199482071,-97.7430608,30.267153
"3","CORPUSCHRISTI",0.026266416510319,0,"TX",0.026266416510319,-97.396381,27.8005828
"4","RICHLANDHILLS",0.0225140712945591,0,"TX",0.0225140712945591,-97.2280695,32.8159623
"5","PLANO",0.0206378986866792,0,"TX",0.0206378986866792,-96.6988856,33.0198431
"6","THEWOODLANDS",0.0168855534709193,0,"TX",0.0168855534709193,-95.4612625,30.1658207
"7","ARLINGTON",0.0131332082551595,0,"TX",0.0131332082551595,-97.1080656,32.735687
"8","IRVING",0.0131332082551595,0,"TX",0.0131332082551595,-96.9488945,32.8140177
"9","FORTWORTH",0.0412757973733583,0.028169014084507,"TX",0.0131067832888513,-97.3307658,32.7554883
"10","ELPASO",0.00938086303939963,0,"TX",0.00938086303939963,-106.4850217,31.7618778
"11","TOMBALL",0.00938086303939963,0,"TX",0.00938086303939963,-95.6160549,30.0971621
"12","CYPRESS",0.0075046904315197,0,"TX",0.0075046904315197,-118.0368507,33.8169366
"13","FARMERSBRANCH",0.0075046904315197,0,"TX",0.0075046904315197,-96.8961151,32.9265137
"14","KATY",0.0075046904315197,0,"TX",0.0075046904315197,-95.8243956,29.7857853
"15","LUBBOCK",0.0075046904315197,0,"TX",0.0075046904315197,-101.8551665,33.5778631
"16","SANMARCOS",0.0075046904315197,0,"TX",0.0075046904315197,-97.9413941,29.8832749
"17","COLLEGESTATION",0.0131332082551595,0.00704225352112676,"TX",0.00609095473403271,-96.3344068,30.627977
"18","FRISCO",0.00562851782363977,0,"TX",0.00562851782363977,-96.8236116,33.1506744
"19","GALVESTON",0.00562851782363977,0,"TX",0.00562851782363977,-94.7976958,29.3013479
"20","GEORGETOWN",0.00562851782363977,0,"TX",0.00562851782363977,-77.0722585,38.9076089
"21","MESQUITE",0.00562851782363977,0,"TX",0.00562851782363977,-114.06719,36.805531
"22","MISSION",0.00562851782363977,0,"TX",0.00562851782363977,-98.3252932,26.2159066
"23","NEWBRAUNFELS",0.00562851782363977,0,"TX",0.00562851782363977,-98.1244531,29.7030024
"24","QUINCY",0.00562851782363977,0,"MA",0.00562851782363977,-71.0022705,42.2528772
"25","SPRING",0.00562851782363977,0,"TX",0.00562851782363977,-118.143068,34.004489
"26","SUGARLAND",0.00562851782363977,0,"TX",0.00562851782363977,-95.6218571,29.5953907
"27","TERRELL",0.00562851782363977,0,"TX",0.00562851782363977,-96.2752569,32.7359626
"28","WILLIS",0.00562851782363977,0,"TX",0.00562851782363977,-95.4799418,30.4249276
"29","1130HAMPTONSANANTONIO",0.00375234521575985,0,"TX",0.00375234521575985,-98.4406433,29.4012295
"30","SANANTONIO",0.0712945590994371,0.0704225352112676,"TX",0.000872023888169537,-98.4936282,29.4241219
"31","ABILENE",0.0075046904315197,0.00704225352112676,"TX",0.000462436910392939,-99.7331439,32.4487364
"32","BEAUMONT",0.0075046904315197,0.00704225352112676,"TX",0.000462436910392939,-94.1265562,30.080174
